society_name,circuit_location,device_name,count,wattage_each,hours_per_day,excluded,replacement_device_name,replacement_wattage
Ace City,Basement,Tube light 20W,96,20,24,no,Motion-enabled batten 20W,20
Ace Aspire,Basement,Tube light 20W,71,20,24,no,Motion-enabled batten 20W,20
Aditya Mega City,Basement,Tube light 20W,91,20,24,no,Motion-enabled batten 20W,20
Aditya Mega City,Basement,Street light 50W,7,50,12,yes,,
Aditya Urban Casa,Basement,Tube light 20W,122,20,24,no,Motion-enabled batten 20W,20
Aditya Urban Casa,Lift Lobby,Surface light 9W,16,9,12,no,Motion-enabled bulb 9W,9
Amrapali Princely Estate,Basement,Tube light 20W,140,20,24,no,Motion-enabled batten 20W,20
Arihant Arden,Basement,Tube light 20W,44,20,24,no,Motion-enabled batten 20W,20
Arihant Arden,Basement,Ramp light 12W,9,12,12,yes,,
ATS Greens Paradiso,Basement,Tube light 20W,40,20,24,no,Motion-enabled batten 20W,20
Bestech Park View Residency,Basement,Tube light 20W,47,20,24,no,Motion-enabled batten 20W,20
Elite Homz,Basement,Tube light 20W,45,20,24,no,Motion-enabled batten 20W,20
French Apartment,Basement,Tube light 20W,55,20,24,no,Motion-enabled batten 20W,20
The Hyde Park,Basement,Tube light 20W,55,20,24,no,Motion-enabled batten 20W,20
The Hyde Park,Basement,Tube light 20W,8,20,24,yes,,
